epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2967.48,0.94753,2.83933,1.40699,0.45948,0.43391,0.41468,0.28865,0.99492,2.66577,1.53111,0.000255575,0.000255575,0.000255575
2,7408.84,0.97302,2.07189,1.38771,0.48764,0.54947,0.47423,0.34125,0.99432,2.15411,1.52244,0.00050684,0.00050684,0.00050684
3,11052.1,0.9829,1.89715,1.39819,0.53862,0.44456,0.46115,0.32751,0.97051,2.0621,1.54242,0.00075303,0.00075303,0.00075303
4,13488.9,0.96777,1.74224,1.38109,0.62856,0.53105,0.56139,0.399,0.98364,1.80329,1.5009,0.000746161,0.000746161,0.000746161
5,15924.5,0.94829,1.6122,1.36137,0.58623,0.62656,0.6019,0.44111,0.95657,1.69535,1.49314,0.000738548,0.000738548,0.000738548
6,18326.7,0.93367,1.54354,1.35763,0.53843,0.63596,0.59709,0.42922,0.96538,1.58537,1.47659,0.000730935,0.000730935,0.000730935
7,20706.1,0.9209,1.44537,1.333,0.62359,0.61725,0.64989,0.48849,0.87587,1.41958,1.43336,0.000723321,0.000723321,0.000723321
8,23125.8,0.9024,1.35782,1.3297,0.62372,0.60056,0.64507,0.47101,0.90848,1.45479,1.4893,0.000715708,0.000715708,0.000715708
9,25569.4,0.87829,1.33529,1.31402,0.70835,0.65022,0.70704,0.51812,0.87647,1.31553,1.43957,0.000708095,0.000708095,0.000708095
10,27997.9,0.87195,1.25227,1.30269,0.75137,0.60455,0.68324,0.5177,0.89544,1.30835,1.45431,0.000700482,0.000700482,0.000700482
11,30426.5,0.88014,1.25446,1.31349,0.64763,0.68071,0.69563,0.53645,0.86986,1.28077,1.44278,0.000692869,0.000692869,0.000692869
12,32871.6,0.87143,1.21168,1.30304,0.66757,0.64174,0.673,0.51492,0.84267,1.22405,1.39981,0.000685256,0.000685256,0.000685256
